safegraph_place_id,raw_visit_counts,raw_visitor_counts,visits_by_day,popularity_by_hour,popularity_by_day
sg:c7e2e8540a2747e498d98893d0d6f9c5,329,239,"[5,7,7,7,14,5,15,14,51,57,52,17,14,8,17,4,5,7,4,1,3,1,4,1,1,0,0,0,4,1,3]","[2,2,2,3,2,0,10,25,38,46,52,69,78,69,96,87,46,25,19,14,11,10,7,7]","{""Monday"":67,""Tuesday"":73,""Wednesday"":67,""Thursday"":35,""Friday"":20,""Saturday"":28,""Sunday"":39}"
sg:08dfc0c4e2c24391841872def7ba395b,109,69,"[0,7,8,4,7,5,2,4,3,16,7,7,4,2,5,2,2,4,0,1,1,0,3,1,6,3,0,0,1,3,1]","[1,1,2,2,1,6,6,7,9,11,13,14,23,22,18,12,14,13,7,5,2,2,5,3]","{""Monday"":18,""Tuesday"":28,""Wednesday"":21,""Thursday"":17,""Friday"":10,""Saturday"":5,""Sunday"":10}"
sg:67221bf313414105bcc92570b699fa52,141,70,"[3,5,7,3,6,3,1,3,8,7,3,4,12,8,12,2,6,11,10,6,3,0,5,2,2,1,0,1,1,4,2]","[4,4,1,0,0,0,0,2,13,27,31,39,38,33,34,37,38,41,20,8,8,3,3,6]","{""Monday"":24,""Tuesday"":24,""Wednesday"":19,""Thursday"":21,""Friday"":21,""Saturday"":14,""Sunday"":18}"
sg:3ea66f107e574710b997eda4cce04bbe,36,15,"[1,1,0,1,0,2,0,0,1,0,4,2,3,1,2,0,1,2,0,1,0,2,1,0,0,0,4,1,1,4,1]","[1,0,0,1,1,2,2,0,1,1,1,4,6,5,5,5,6,5,6,3,1,2,2,2]","{""Monday"":7,""Tuesday"":2,""Wednesday"":7,""Thursday"":2,""Friday"":10,""Saturday"":2,""Sunday"":6}"
sg:8d62c0d2f98747e593a1ca7214087a13,10,10,"[2,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,1,3,4,2,1,1,0,0]","{""Monday"":0,""Tuesday"":1,""Wednesday"":1,""Thursday"":1,""Friday"":0,""Saturday"":1,""Sunday"":6}"
sg:657cf49b7a5e4611a0dc5d46464074a5,186,156,"[13,15,4,1,12,10,21,24,8,7,12,4,10,18,4,2,1,0,1,1,0,0,1,0,3,0,2,3,6,1,2]","[2,1,1,1,1,1,0,2,5,7,5,14,23,24,25,27,23,32,48,50,28,18,12,3]","{""Monday"":27,""Tuesday"":14,""Wednesday"":16,""Thursday"":17,""Friday"":23,""Saturday"":47,""Sunday"":42}"
sg:9886b23f91544ebd83d1bdf1a03804ca,19,15,"[1,0,0,2,2,0,0,0,1,0,1,4,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,2,1,0]","[0,0,0,0,0,0,0,0,1,1,1,2,2,5,3,1,2,1,2,4,4,4,4,3]","{""Monday"":2,""Tuesday"":0,""Wednesday"":4,""Thursday"":7,""Friday"":2,""Saturday"":3,""Sunday"":1}"
sg:1e83d89189e24ddd91e01b8e2513cd70,150,74,"[1,11,13,11,19,12,1,1,9,14,14,11,5,0,1,3,5,4,3,1,1,0,1,2,0,1,2,0,3,1,0]","[0,0,0,0,0,0,0,7,29,36,45,43,38,44,55,37,31,17,7,4,3,3,1,1]","{""Monday"":25,""Tuesday"":34,""Wednesday"":29,""Thursday"":34,""Friday"":20,""Saturday"":2,""Sunday"":6}"
sg:e4c7df92a1c2438a9b0da0f157410f94,996,810,"[108,36,42,18,29,134,163,72,23,72,12,17,59,81,35,5,0,0,0,0,0,1,2,0,0,1,3,0,81,1,1]","[23,9,5,3,3,1,0,1,5,17,59,86,132,165,171,193,189,185,202,282,310,272,149,80]","{""Monday"":67,""Tuesday"":115,""Wednesday"":30,""Thursday"":47,""Friday"":196,""Saturday"":325,""Sunday"":216}"
sg:e6bf67aa42f946219069867c2c157d2c,36,20,"[6,1,0,0,1,1,2,4,0,1,1,2,2,3,2,0,2,1,0,0,0,2,0,0,0,1,0,2,1,0,1]","[2,2,2,2,2,2,2,2,2,1,2,3,6,10,6,3,5,12,10,6,2,2,2,2]","{""Monday"":1,""Tuesday"":4,""Wednesday"":2,""Thursday"":4,""Friday"":3,""Saturday"":8,""Sunday"":14}"
sg:8c8d7ba8987e4d748a12626805efe4d4,29,16,"[4,3,1,1,1,1,0,3,0,1,1,0,0,1,1,0,0,2,1,0,1,1,1,2,0,0,1,0,2,0,0]","[1,1,1,1,1,1,1,3,2,1,4,5,1,0,1,4,3,4,6,5,3,6,3,2]","{""Monday"":4,""Tuesday"":4,""Wednesday"":4,""Thursday"":2,""Friday"":2,""Saturday"":3,""Sunday"":10}"
sg:8f78e3c8e15641248c8ce016c5e0dbd8,71,42,"[0,3,1,3,1,4,6,4,4,1,2,0,6,4,4,3,1,3,0,3,1,6,2,2,2,0,1,1,0,1,2]","[10,6,5,3,3,3,5,5,6,6,7,4,6,10,11,13,11,12,15,10,6,8,12,11]","{""Monday"":13,""Tuesday"":7,""Wednesday"":10,""Thursday"":1,""Friday"":14,""Saturday"":12,""Sunday"":14}"
sg:fcdf758d167f4b37a71d52869d351d51,110,48,"[1,4,7,6,6,4,2,4,7,6,3,3,1,3,3,3,2,1,3,4,1,4,3,1,7,5,3,4,6,2,1]","[15,15,17,13,12,12,12,12,11,16,14,18,12,15,10,11,8,11,5,12,17,16,13,14]","{""Monday"":19,""Tuesday"":17,""Wednesday"":17,""Thursday"":17,""Friday"":12,""Saturday"":14,""Sunday"":14}"
sg:3a09c72b5f78418ca6bcc8169b675382,68,31,"[1,1,2,2,0,3,14,8,0,1,1,0,4,3,4,2,0,2,3,2,1,1,5,1,4,1,1,0,1,0,0]","[6,3,3,3,2,3,3,11,13,11,10,11,11,13,10,11,7,11,7,12,10,10,8,5]","{""Monday"":8,""Tuesday"":4,""Wednesday"":9,""Thursday"":4,""Friday"":10,""Saturday"":19,""Sunday"":14}"
